"Echinostephia aculeata","Echinostephia","","aculeata",NA,NA,"","","kew-2783880",TRUE,"1.1","Accepted","Menispermaceae","Echinostephia","","aculeata","","","(F.M.Bailey) Domin","kew-2783880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia aquatica","Ehretia","","aquatica",NA,NA,"","","kew-2784657",TRUE,"1.1","Synonym","Boraginaceae","Rotula","","aquatica","","","Lour.","kew-2422805","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia coerulea","Ehretia","","coerulea",NA,NA,"","","kew-2784686",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","coerulea","","","Gürke","kew-2784686","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia cortesia","Ehretia","","cortesia",NA,NA,"","","kew-2784692",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","cortesia","","","Gottschling","kew-2784692","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia cymosa","Ehretia","","cymosa",NA,NA,"","","kew-2784701",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","cymosa","","","Thonn.","kew-2784701","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia dicksonii","Ehretia","","dicksonii",NA,NA,"","","kew-2784711",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","dicksonii","","","Hance","kew-2784711","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia grahamii","Ehretia","","grahamii",NA,NA,"","","kew-2784743",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","grahamii","","","Randell","kew-2784743","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia laevis","Ehretia","","laevis",NA,NA,"","","kew-2784764",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","laevis","","","Roxb.","kew-2784764","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia latifolia","Ehretia","","latifolia",NA,NA,"","","kew-2784774",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","latifolia","","","Loisel. ex A.DC.","kew-2784774","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia longiflora","Ehretia","","longiflora",NA,NA,"","","kew-2784779",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","longiflora","","","Champ. ex Benth.","kew-2784779","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia macrophylla","Ehretia","","macrophylla",NA,NA,"","","kew-2784786",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","macrophylla","","","Wall.","kew-2784786","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia microphylla","Ehretia","","microphylla",NA,NA,"","","kew-2784796",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","microphylla","","","Lam.","kew-2784796","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia monopyrena","Ehretia","","monopyrena",NA,NA,"","","kew-2784799",TRUE,"1.1","Synonym","Boraginaceae","Ehretia","","microphylla","","","Lam.","kew-2784796","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia obtusifolia","Ehretia","","obtusifolia",NA,NA,"","","kew-2784807",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","obtusifolia","","","Hochst. ex A.DC.","kew-2784807","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia ovalifolia","Ehretia","","ovalifolia",NA,NA,"","","kew-2784810",TRUE,"1.1","Synonym","Boraginaceae","Ehretia","","acuminata","","","R.Br.","kew-2784642","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia resinosa","Ehretia","","resinosa",NA,NA,"","","kew-2784825",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","resinosa","","","Hance","kew-2784825","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia rigida","Ehretia","","rigida",NA,NA,"","","kew-2784829",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","rigida","","","(Thunb.) Druce","kew-2784829","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia saligna","Ehretia","","saligna",NA,NA,"","","kew-2784834",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","saligna","","","R.Br.","kew-2784834","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia tinifolia","Ehretia","","tinifolia",NA,NA,"","","kew-2784860",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","tinifolia","","","L.","kew-2784860","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehretia wallichiana","Ehretia","","wallichiana",NA,NA,"","","kew-2784880",TRUE,"1.1","Accepted","Boraginaceae","Ehretia","","wallichiana","","","Hook.f. & Thomson ex C.B.Clarke","kew-2784880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta barbinodis","Ehrharta","","barbinodis",NA,NA,"","","kew-410466",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","barbinodis","","","Nees","kew-410466","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta brevifolia","Ehrharta","","brevifolia",NA,NA,"","","kew-410468",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","brevifolia","","","Schrad.","kew-410468","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta calycina","Ehrharta","","calycina",NA,NA,"","","kew-410473",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","calycina","","","Sm.","kew-410473","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta capensis","Ehrharta","","capensis",NA,NA,"","","kew-410476",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","capensis","","","Thunb.","kew-410476","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta delicatula","Ehrharta","","delicatula",NA,NA,"","","kew-410483",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","delicatula","","","Stapf","kew-410483","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta dura","Ehrharta","","dura",NA,NA,"","","kew-410492",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","dura","","","Nees","kew-410492","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta eburnea","Ehrharta","","eburnea",NA,NA,"","","kew-410493",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","eburnea","","","Gibbs Russ.","kew-410493","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta erecta","Ehrharta","","erecta",NA,NA,"","","kew-410495",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","erecta","","","Lam.","kew-410495","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta longiflora","Ehrharta","","longiflora",NA,NA,"","","kew-410509",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","longiflora","","","Sm.","kew-410509","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta longifolia","Ehrharta","","longifolia",NA,NA,"","","kew-410514",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","longifolia","","","Schrad.","kew-410514","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta longiglumis","Ehrharta","","longiglumis",NA,NA,"","","kew-410516",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","longigluma","","","C.E.Hubb.","kew-410516","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Ehrharta melicoides","Ehrharta","","melicoides",NA,NA,"","","kew-410518",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","melicoides","","","Thunb.","kew-410518","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta ottonis","Ehrharta","","ottonis",NA,NA,"","","kew-410526",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","ottonis","","","Kuntze ex Nees","kew-410526","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta pusilla","Ehrharta","","pusilla",NA,NA,"","","kew-410535",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","pusilla","","","Nees","kew-410535","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta ramosa","Ehrharta","","ramosa",NA,NA,"","","kew-410540",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","ramosa","","","Thunb.","kew-410540","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta rehmannii","Ehrharta","","rehmannii",NA,NA,"","","kew-410543",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","rehmannii","","","Stapf","kew-410543","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta rupestris","Ehrharta","","rupestris",NA,NA,"","","kew-410547",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","rupestris","","","Nees","kew-410547","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta setacea","Ehrharta","","setacea",NA,NA,"","","kew-410551",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","setacea","","","Nees","kew-410551","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta thunbergii","Ehrharta","","thunbergii",NA,NA,"","","kew-410565",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","thunbergii","","","Gibbs Russ.","kew-410565","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta triandra","Ehrharta","","triandra",NA,NA,"","","kew-410566",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","triandra","","","Nees","kew-410566","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ehrharta villosa","Ehrharta","","villosa",NA,NA,"","","kew-410577",TRUE,"1.1","Accepted","Poaceae","Ehrharta","","villosa","","","Schult.f.","kew-410577","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eichhornia azurea","Eichhornia","","azurea",NA,NA,"","","kew-242126",TRUE,"1.1","Accepted","Pontederiaceae","Eichhornia","","azurea","","","(Sw.) Kunth","kew-242126","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eichhornia crassipes","Eichhornia","","crassipes",NA,NA,"","","kew-242133",TRUE,"1.1","Accepted","Pontederiaceae","Eichhornia","","crassipes","","","(Mart.) Solms","kew-242133","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eichhornia diversifolia","Eichhornia","","diversifolia",NA,NA,"","","kew-242134",TRUE,"1.1","Accepted","Pontederiaceae","Eichhornia","","diversifolia","","","(Vahl) Urb.","kew-242134","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eichhornia heterosperma","Eichhornia","","heterosperma",NA,NA,"","","kew-242136",TRUE,"1.1","Accepted","Pontederiaceae","Eichhornia","","heterosperma","","","Alexander","kew-242136","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eichhornia meyeri","Eichhornia","","meyeri",NA,NA,"","","kew-242139",TRUE,"1.1","Synonym","Pontederiaceae","Eichhornia","","paniculata","","","(Spreng.) Solms","kew-242142","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eichhornia paniculata","Eichhornia","","paniculata",NA,NA,"","","kew-242142",TRUE,"1.1","Accepted","Pontederiaceae","Eichhornia","","paniculata","","","(Spreng.) Solms","kew-242142","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eichhornia paradoxa","Eichhornia","","paradoxa",NA,NA,"","","kew-242143",TRUE,"1.1","Accepted","Pontederiaceae","Eichhornia","","paradoxa","","","(Mart. ex Schult. & Schult.f.) Solms","kew-242143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eidothea hardeniana","Eidothea","","hardeniana",NA,NA,"","","kew-2784907",TRUE,"1.1","Accepted","Proteaceae","Eidothea","","hardeniana","","","P.H.Weston & Kooyman","kew-2784907","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eidothea zoexylocarya","Eidothea","","zoexylocarya",NA,NA,"","","kew-2784908",TRUE,"1.1","Accepted","Proteaceae","Eidothea","","zoexylocarya","","","A.W.Douglas & B.Hyland","kew-2784908","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eigia longistyla","Eigia","","longistyla",NA,NA,"","","kew-2784910",TRUE,"1.1","Accepted","Brassicaceae","Eigia","","longistyla","","","(Eig) Soják","kew-2784910","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Einadia hastata","Einadia","","hastata",NA,NA,"","","kew-2784916",TRUE,"1.1","Accepted","Amaranthaceae","Einadia","","hastata","","","(R.Br.) A.J.Scott","kew-2784916","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eirmocephala brachiata","Eirmocephala","","brachiata",NA,NA,"","","gcc-24765",TRUE,"1.1","Accepted","Compositae","Eirmocephala","","brachiata","","","H.Rob.","gcc-24765","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eitenia polyseta","Eitenia","","polyseta",NA,NA,"","","gcc-119507",TRUE,"1.1","Accepted","Compositae","Eitenia","","polyseta","","","R.M.King & H.Rob.","gcc-119507","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eithea blumenavia","Eithea","","blumenavia",NA,NA,"","","kew-305347",TRUE,"1.1","Accepted","Amaryllidaceae","Eithea","","blumenavia","","","(K.Koch & C.D.Bouché ex Carrière) Ravenna","kew-305347","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ekebergia capensis","Ekebergia","","capensis",NA,NA,"","","kew-2784939",TRUE,"1.1","Accepted","Meliaceae","Ekebergia","","capensis","","","Sparrm.","kew-2784939","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ekebergia pterophylla","Ekebergia","","pterophylla",NA,NA,"","","kew-2784954",TRUE,"1.1","Accepted","Meliaceae","Ekebergia","","pterophylla","","","(C.DC.) Hofmeyr","kew-2784954","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ekimia bornmuelleri","Ekimia","","bornmuelleri",NA,NA,"","","kew-2784963",TRUE,"1.1","Accepted","Apiaceae","Ekimia","","bornmuelleri","","","(Hub.-Mor. & Reese) H.Duman & M.F.Watson","kew-2784963","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ekimia glauca","Ekimia","","glauca",NA,NA,"","","",FALSE,"1.1","","","Ekimia","","glauca",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ekimia petrophila","Ekimia","","petrophila",NA,NA,"","","",FALSE,"1.1","","","Ekimia","","petrophila",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ekmanianthe actinophylla","Ekmanianthe","","actinophylla",NA,NA,"","","kew-320800",TRUE,"1.1","Accepted","Bignoniaceae","Ekmanianthe","","actinophylla","","","(Griseb.) Urb.","kew-320800","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ekmanianthe longiflora","Ekmanianthe","","longiflora",NA,NA,"","","kew-320801",TRUE,"1.1","Accepted","Bignoniaceae","Ekmanianthe","","longiflora","","","(Griseb.) Urb.","kew-320801","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elachanthus pusillus","Elachanthus","","pusillus",NA,NA,"","","gcc-76974",TRUE,"1.1","Accepted","Compositae","Elachanthus","","pusillus","","","F.Muell.","gcc-76974","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elacholoma prostrata","Elacholoma","","prostrata",NA,NA,"","","",FALSE,"1.1","","","Elacholoma","","prostrata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Elachyptera floribunda","Elachyptera","","floribunda",NA,NA,"","","kew-2784970",TRUE,"1.1","Accepted","Celastraceae","Elachyptera","","floribunda","","","(Benth.) A.C.Sm.","kew-2784970","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elachyptera holtzii","Elachyptera","","holtzii",NA,NA,"","","kew-2784971",TRUE,"1.1","Accepted","Celastraceae","Elachyptera","","holtzii","","","(Loes. ex Harms) R.Wilczek","kew-2784971","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elachyptera minimiflora","Elachyptera","","minimiflora",NA,NA,"","","kew-2784973",TRUE,"1.1","Accepted","Celastraceae","Elachyptera","","minimiflora","","","(H.Perrier) N.Hallé","kew-2784973","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagia auriculata","Elaeagia","","auriculata",NA,NA,"","","kew-66306",TRUE,"1.1","Accepted","Rubiaceae","Elaeagia","","auriculata","","","Hemsl.","kew-66306","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagia mariae","Elaeagia","","mariae",NA,NA,"","","kew-66322",TRUE,"1.1","Accepted","Rubiaceae","Elaeagia","","mariae","","","Wedd.","kew-66322","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagia myriantha","Elaeagia","","myriantha",NA,NA,"","","kew-66326",TRUE,"1.1","Accepted","Rubiaceae","Elaeagia","","myriantha","","","(Standl.) C.M.Taylor & Hammel","kew-66326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagia obovata","Elaeagia","","obovata",NA,NA,"","","kew-66328",TRUE,"1.1","Accepted","Rubiaceae","Elaeagia","","obovata","","","Rusby","kew-66328","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagia utilis","Elaeagia","","utilis",NA,NA,"","","kew-66333",TRUE,"1.1","Accepted","Rubiaceae","Elaeagia","","utilis","","","(Goudot) Wedd.","kew-66333","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus angustifolia","Elaeagnus","","angustifolia",NA,NA,"","","kew-2784980",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","angustifolia","","","L.","kew-2784980","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus bockii","Elaeagnus","","bockii",NA,NA,"","","kew-2785005",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","bockii","","","Diels","kew-2785005","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus commutata","Elaeagnus","","commutata",NA,NA,"","","kew-2785017",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","commutata","","","Bernh. ex Rydb.","kew-2785017","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus conferta","Elaeagnus","","conferta",NA,NA,"","","kew-2785018",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","conferta","","","Roxb.","kew-2785018","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus environmental","Elaeagnus","","environmental",NA,NA,"","","",FALSE,"1.1","","","Elaeagnus","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus formosana","Elaeagnus","","formosana",NA,NA,"","","kew-2785063",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","formosana","","","Nakai","kew-2785063","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus glabra","Elaeagnus","","glabra",NA,NA,"","","kew-2785071",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","glabra","","","Thunb.","kew-2785071","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus gonyanthes","Elaeagnus","","gonyanthes",NA,NA,"","","kew-2785078",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","gonyanthes","","","Benth.","kew-2785078","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus macrophylla","Elaeagnus","","macrophylla",NA,NA,"","","kew-2785146",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","macrophylla","","","Thunb.","kew-2785146","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus mollis","Elaeagnus","","mollis",NA,NA,"","","kew-2785154",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","mollis","","","Diels","kew-2785154","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus moorcroftii","Elaeagnus","","moorcroftii",NA,NA,"","","kew-2785157",TRUE,"1.1","Synonym","Elaeagnaceae","Elaeagnus","","angustifolia","","","L.","kew-2784980","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus multiflora","Elaeagnus","","multiflora",NA,NA,"","","kew-2785159",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","multiflora","","","Thunb.","kew-2785159","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus oldhamii","Elaeagnus","","oldhamii",NA,NA,"","","kew-2785180",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","oldhamii","","","Maxim.","kew-2785180","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus oxycarpa","Elaeagnus","","oxycarpa",NA,NA,"","","kew-2785184",TRUE,"1.1","Synonym","Elaeagnaceae","Elaeagnus","","angustifolia","","","L.","kew-2784980","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus pungens","Elaeagnus","","pungens",NA,NA,"","","kew-2785200",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","pungens","","","Thunb.","kew-2785200","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus rotundata","Elaeagnus","","rotundata",NA,NA,"","","kew-2785209",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","rotundata","","","Nakai","kew-2785209","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus triflora","Elaeagnus","","triflora",NA,NA,"","","kew-2785243",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","triflora","","","Roxb.","kew-2785243","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeagnus umbellata","Elaeagnus","","umbellata",NA,NA,"","","kew-2785255",TRUE,"1.1","Accepted","Elaeagnaceae","Elaeagnus","","umbellata","","","Thunb.","kew-2785255","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus alaternoides","Elaeocarpus","","alaternoides",NA,NA,"","","kew-2785298",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","alaternoides","","","Brongn. & Gris","kew-2785298","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus alternifolius","Elaeocarpus","","alternifolius",NA,NA,"","","",FALSE,"1.1","","","Elaeocarpus","","alternifolius",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus amplifolius","Elaeocarpus","","amplifolius",NA,NA,"","","kew-2785311",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","amplifolius","","","Schltr.","kew-2785311","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus angustifolius","Elaeocarpus","","angustifolius",NA,NA,"","","kew-2785314",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","angustifolius","","","Blume","kew-2785314","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus apiculatus","Elaeocarpus","","apiculatus",NA,NA,"","","kew-2785317",TRUE,"1.1","Synonym","Elaeocarpaceae","Elaeocarpus","","obtusus","subsp.","apiculatus","(Mast.) Coode","kew-2785836","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus arnhemicus","Elaeocarpus","","arnhemicus",NA,NA,"","","kew-2785326",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","arnhemicus","","","F.Muell.","kew-2785326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus austroyunnanensis","Elaeocarpus","","austroyunnanensis",NA,NA,"","","kew-2785334",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","austroyunnanensis","","","Hu","kew-2785334","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus balansae","Elaeocarpus","","balansae",NA,NA,"","","kew-2785342",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","balansae","","","DC.","kew-2785342","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus bancroftii","Elaeocarpus","","bancroftii",NA,NA,"","","kew-2785344",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","bancroftii","","","F.Muell. & F.M.Bailey","kew-2785344","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus bifidus","Elaeocarpus","","bifidus",NA,NA,"","","kew-2785364",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","bifidus","","","Hook. & Arn.","kew-2785364","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus blascoi","Elaeocarpus","","blascoi",NA,NA,"","","kew-2785369",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","blascoi","","","Weibel","kew-2785369","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus braceanus","Elaeocarpus","","braceanus",NA,NA,"","","kew-2785377",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","braceanus","","","Watt ex C.B.Clarke","kew-2785377","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus brachypodus","Elaeocarpus","","brachypodus",NA,NA,"","","kew-2785380",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","brachypodus","","","Guillaumin","kew-2785380","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus bullatus","Elaeocarpus","","bullatus",NA,NA,"","","kew-2785393",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","bullatus","","","Tirel","kew-2785393","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus carolinensis","Elaeocarpus","","carolinensis",NA,NA,"","","kew-2785403",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","carolinensis","","","Koidz.","kew-2785403","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus chinensis","Elaeocarpus","","chinensis",NA,NA,"","","kew-2785414",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","chinensis","","","(Gardner & Champ.) Hook.f. ex Benth.","kew-2785414","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus coorangooloo","Elaeocarpus","","coorangooloo",NA,NA,"","","kew-2785441",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","coorangooloo","","","J.F.Bailey & C.T.White","kew-2785441","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus coumbouiensis","Elaeocarpus","","coumbouiensis",NA,NA,"","","kew-2785450",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","coumbouiensis","","","Guillaumin","kew-2785450","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus crenulatus","Elaeocarpus","","crenulatus",NA,NA,"","","kew-2785455",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","crenulatus","","","Knuth","kew-2785455","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus culminicola","Elaeocarpus","","culminicola",NA,NA,"","","kew-2785459",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","culminicola","","","Warb.","kew-2785459","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus decipiens","Elaeocarpus","","decipiens",NA,NA,"","","kew-2785478",TRUE,"1.1","Synonym","Elaeocarpaceae","Elaeocarpus","","sylvestris","","","(Lour.) Poir.","kew-2786062","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus dentatus","Elaeocarpus","","dentatus",NA,NA,"","","kew-2785484",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","dentatus","","","(J.R.Forst. & G.Forst.) Vahl","kew-2785484","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus dongnaiensis","Elaeocarpus","","dongnaiensis",NA,NA,"","","kew-2785501",TRUE,"1.1","Synonym","Elaeocarpaceae","Elaeocarpus","","tectorius","","","(Lour.) Poir.","kew-2786077","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Elaeocarpus dubius","Elaeocarpus","","dubius",NA,NA,"","","kew-2785503",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","dubius","","","DC.","kew-2785503","Accepted",FALSE,FALSE,FALSE,2017-05-11
